Date,Plays
2020-08-02,31
2020-08-03,27
2020-08-04,48
2020-08-05,45
2020-08-06,55
2020-08-07,56
2020-08-08,26
2020-08-09,32
2020-08-10,50
2020-08-11,57
2020-08-12,85
2020-08-13,49
2020-08-14,44
2020-08-15,32
2020-08-16,35
2020-08-17,49
2020-08-18,56
2020-08-19,72
2020-08-20,83
2020-08-21,73
2020-08-22,19
2020-08-23,10
2020-08-24,60
2020-08-25,51
2020-08-26,29
2020-08-27,67
2020-08-28,52
2020-08-29,11
2020-08-30,47
2020-08-31,68
2020-09-01,64
2020-09-02,104
2020-09-03,84
2020-09-04,79
2020-09-05,49
2020-09-06,24
2020-09-07,66
2020-09-08,88
2020-09-09,71
2020-09-10,75
2020-09-11,80
2020-09-12,7
2020-09-13,55
2020-09-14,91
2020-09-15,74
2020-09-16,37
2020-09-17,98
2020-09-18,65
2020-09-19,34
2020-09-20,64
2020-09-21,79
2020-09-22,108
2020-09-23,100
2020-09-24,88
2020-09-25,73
2020-09-26,42
2020-09-27,61
2020-09-28,97
2020-09-29,89
2020-09-30,61
2020-10-01,89
2020-10-02,135
2020-10-03,81
2020-10-04,76
2020-10-05,80
2020-10-06,72
2020-10-07,29
2020-10-08,76
2020-10-09,73
2020-10-10,42
2020-10-11,90
2020-10-12,40
2020-10-13,118
2020-10-14,58
2020-10-15,104
2020-10-16,133
2020-10-17,22
2020-10-18,70
2020-10-19,58
2020-10-20,59
2020-10-21,28
2020-10-22,86
2020-10-23,93
2020-10-24,77
2020-10-25,51
2020-10-26,95
2020-10-27,96
2020-10-28,30
2020-10-29,108
2020-10-30,96
2020-10-31,69
2020-11-01,55
2020-11-02,78
2020-11-03,97
2020-11-04,34
2020-11-05,80
2020-11-06,71
2020-11-07,38
2020-11-08,25
2020-11-09,34
2020-11-10,50
2020-11-11,55
2020-11-12,120
2020-11-13,56
2020-11-14,33
2020-11-15,47
2020-11-16,51
2020-11-17,55
2020-11-18,37
2020-11-19,69
2020-11-20,78
2020-11-21,20
2020-11-22,106
2020-11-23,86
2020-11-24,88
2020-11-25,42
2020-11-26,25
2020-11-27,70
2020-11-28,93
2020-11-29,82
2020-11-30,108
2020-12-01,96
2020-12-02,57
2020-12-03,118
2020-12-04,178
2020-12-05,22
2020-12-06,59
2020-12-07,95
2020-12-08,49
2020-12-09,33
2020-12-10,64
2020-12-11,46
2020-12-12,11
2020-12-13,67
2020-12-14,41
2020-12-15,62
2020-12-16,30
2020-12-17,59
2020-12-18,33
2020-12-19,24
2020-12-20,38
2020-12-21,72
2020-12-22,30
2020-12-23,41
2020-12-24,16
2020-12-25,37
2020-12-26,22
2020-12-27,27
2020-12-28,74
2020-12-29,60
2020-12-30,44
2020-12-31,24
2021-01-01,61
2021-01-02,58
2021-01-03,82
2021-01-04,102
2021-01-05,79
2021-01-06,83
2021-01-07,66
2021-01-08,77
2021-01-09,78
2021-01-10,90
2021-01-11,151
2021-01-12,78
2021-01-13,116
2021-01-14,132
2021-01-15,139
2021-01-16,43
2021-01-17,149
2021-01-18,123
2021-01-19,206
2021-01-20,104
2021-01-21,129
2021-01-22,196
2021-01-23,133
2021-01-24,100
2021-01-25,99
2021-01-26,82
2021-01-27,85
2021-01-28,108
2021-01-29,103
2021-01-30,86
2021-01-31,43
2021-02-01,129
2021-02-02,51
2021-02-03,28
2021-02-04,78
2021-02-05,94
2021-02-06,106
2021-02-07,105
2021-02-08,95
2021-02-09,116
2021-02-10,89
2021-02-11,111
2021-02-12,127
2021-02-13,54
2021-02-14,59
2021-02-15,73
2021-02-16,118
2021-02-17,35
2021-02-18,20
2021-02-19,49
2021-02-20,64
2021-02-21,57
2021-02-22,57
2021-02-23,65
2021-02-24,57
2021-02-25,68
2021-02-26,73
2021-02-27,25
2021-02-28,79
2021-03-01,88
2021-03-02,86
2021-03-03,65
2021-03-04,102
2021-03-05,91
2021-03-06,155
2021-03-07,90
2021-03-08,243
2021-03-09,245
2021-03-10,100
2021-03-11,134
2021-03-12,99
2021-03-13,51
2021-03-14,77
2021-03-15,43
2021-03-16,91
2021-03-17,58
2021-03-18,76
2021-03-19,89
2021-03-20,42
2021-03-21,31
2021-03-22,85
2021-03-23,71
2021-03-24,61
2021-03-25,107
2021-03-26,66
2021-03-27,72
2021-03-28,113
2021-03-29,99
2021-03-30,83
2021-03-31,29
2021-04-01,97
2021-04-02,86
2021-04-03,82
2021-04-04,94
2021-04-05,81
2021-04-06,76
2021-04-07,31
2021-04-08,55
2021-04-09,53
2021-04-10,
2021-04-11,39
2021-04-12,20
2021-04-13,18
2021-04-14,65
2021-04-15,47
2021-04-16,36
2021-04-17,171
2021-04-18,177
2021-04-19,127
2021-04-20,84
2021-04-21,76
2021-04-22,51
2021-04-23,59
2021-04-24,38
2021-04-25,74
2021-04-26,89
2021-04-27,76
2021-04-28,72
2021-04-29,104
2021-04-30,81
2021-05-01,55
2021-05-02,119
2021-05-03,102
2021-05-04,78
2021-05-05,76
2021-05-06,95
2021-05-07,85
2021-05-08,35
2021-05-09,75
2021-05-10,143
2021-05-11,127
2021-05-12,38
2021-05-13,89
2021-05-14,60
2021-05-15,54
2021-05-16,91
2021-05-17,47
2021-05-18,65
2021-05-19,24
2021-05-20,41
2021-05-21,50
2021-05-22,28
2021-05-23,76
2021-05-24,96
2021-05-25,65
2021-05-26,129
2021-05-27,124
2021-05-28,115
2021-05-29,56
2021-05-30,92
2021-05-31,32
2021-06-01,90
2021-06-02,87
2021-06-03,131
2021-06-04,48
2021-06-05,35
2021-06-06,67
2021-06-07,29
2021-06-08,41
2021-06-09,129
2021-06-10,7
2021-06-11,41
2021-06-12,13
2021-06-13,14
2021-06-14,21
2021-06-15,21
2021-06-16,26
2021-06-17,18
2021-06-18,3
2021-06-19,30
2021-06-20,19
2021-06-21,13
2021-06-22,21
2021-06-23,17
2021-06-24,10
2021-06-25,2
2021-06-26,31
2021-06-27,23
2021-06-28,29
2021-06-29,12
2021-06-30,3
2021-07-01,5
2021-07-02,47
2021-07-03,48
2021-07-04,10
2021-07-05,20
2021-07-06,22
2021-07-07,42
2021-07-08,43
2021-07-09,45
2021-07-10,54
2021-07-11,33
2021-07-12,17
2021-07-13,6
2021-07-14,18
2021-07-15,38
2021-07-16,37
2021-07-17,
2021-07-18,
2021-07-19,26
2021-07-20,48
2021-07-21,20
2021-07-22,41
2021-07-23,24
2021-07-24,47
2021-07-25,1
2021-07-26,29
2021-07-27,47
2021-07-28,41
2021-07-29,39
2021-07-30,2
2021-07-31,107
2021-08-01,96
2021-08-02,73
2021-08-03,46
2021-08-04,27
2021-08-05,17
2021-08-06,74
2021-08-07,125
2021-08-08,40
2021-08-09,2
2021-08-10,2
2021-08-11,13
2021-08-12,20
2021-08-13,21
2021-08-14,7
2021-08-15,65
2021-08-16,70
2021-08-17,26
2021-08-18,17
2021-08-19,61
2021-08-20,50
2021-08-21,34
2021-08-22,75
2021-08-23,24
2021-08-24,32
2021-08-25,25
2021-08-26,25
2021-08-27,38
2021-08-28,12
2021-08-29,39
2021-08-30,23
2021-08-31,54
2021-09-01,20
2021-09-02,49
2021-09-03,41
2021-09-04,71
2021-09-05,97
2021-09-06,103
2021-09-07,50
2021-09-08,16
2021-09-09,55
2021-09-10,41
2021-09-11,45
2021-09-12,69
2021-09-13,24
2021-09-14,38
2021-09-15,27
2021-09-16,24
2021-09-17,22
2021-09-18,17
2021-09-19,111
2021-09-20,42
2021-09-21,62
2021-09-22,14
2021-09-23,39
2021-09-24,56
2021-09-25,76
2021-09-26,140
2021-09-27,81
2021-09-28,96
2021-09-29,53
2021-09-30,54
2021-10-01,37
2021-10-02,29
2021-10-03,68
2021-10-04,67
2021-10-05,61
2021-10-06,103
2021-10-07,36
2021-10-08,33
2021-10-09,26
2021-10-10,118
2021-10-11,57
2021-10-12,30
2021-10-13,29
2021-10-14,19
2021-10-15,52
2021-10-16,43
2021-10-17,70
2021-10-18,58
2021-10-19,26
2021-10-20,22
2021-10-21,52
2021-10-22,30
2021-10-23,12
2021-10-24,90
2021-10-25,68
2021-10-26,72
2021-10-27,16
2021-10-28,50
2021-10-29,53
2021-10-30,59
2021-10-31,86
2021-11-01,60
2021-11-02,78
2021-11-03,40
2021-11-04,58
2021-11-05,69
2021-11-06,34
2021-11-07,104
2021-11-08,54
2021-11-09,55
2021-11-10,162
2021-11-11,117
2021-11-12,10
2021-11-13,
2021-11-14,60
2021-11-15,34
2021-11-16,33
2021-11-17,27
2021-11-18,51
2021-11-19,11
2021-11-20,44
2021-11-21,55
2021-11-22,50
2021-11-23,67
2021-11-24,19
2021-11-25,27
2021-11-26,17
2021-11-27,63
2021-11-28,85
2021-11-29,24
2021-11-30,24
2021-12-01,77
2021-12-02,55
2021-12-03,60
2021-12-04,13
2021-12-05,21
2021-12-06,54
2021-12-07,58
2021-12-08,42
2021-12-09,6
2021-12-10,48
2021-12-11,52
2021-12-12,30
2021-12-13,33
2021-12-14,41
2021-12-15,14
2021-12-16,4
2021-12-17,49
2021-12-18,49
2021-12-19,9
2021-12-20,38
